2018-02-27T11:07:46.986Z - info: Iniciando Serviço de Obtenção dos arquivos dos REPs: 
2018-02-27T11:07:46.989Z - info: #Iniciando request:  2018-02-27T11:07:46.987Z
2018-02-27T11:07:46.990Z - info: #Request Número:  0
2018-02-27T11:07:55.995Z - info: Ultima NSR processada:  000005956
2018-02-27T11:07:55.996Z - info: NSR calculada para início da leitura:  000005806
2018-02-27T11:07:55.996Z - info: Hora do readFile!
2018-02-27T11:07:56.001Z - info: Encontrou , ativando busca 
2018-02-27T11:07:56.003Z - info: Quantidade de marcações:  165
2018-02-27T11:07:56.003Z - info: hashMapSize:  65
2018-02-27T11:07:56.015Z - info: itemsProcessed:  65
2018-02-27T11:07:56.015Z - warn: ## Terminou tudo, chamaria o callback ##
2018-02-27T11:08:01.635Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:01.636Z - info: ## Apontamento atualizado com sucesso 2018-02-25T03:00:00.000Z
2018-02-27T11:08:01.636Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:02.262Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:02.263Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:02.271Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:02.272Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:02.272Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:02.272Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:02.273Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:02.274Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:15.483Z - info: Iniciando Serviço de Obtenção dos arquivos dos REPs: 
2018-02-27T11:08:15.486Z - info: #Iniciando request:  2018-02-27T11:08:15.484Z
2018-02-27T11:08:15.487Z - info: #Request Número:  0
2018-02-27T11:08:21.808Z - info: Ultima NSR processada:  000004118
2018-02-27T11:08:21.808Z - info: NSR calculada para início da leitura:  000003968
2018-02-27T11:08:21.808Z - info: Hora do readFile!
2018-02-27T11:08:21.813Z - info: Encontrou , ativando busca 
2018-02-27T11:08:21.815Z - info: Quantidade de marcações:  161
2018-02-27T11:08:21.815Z - info: hashMapSize:  66
2018-02-27T11:08:21.827Z - info: itemsProcessed:  66
2018-02-27T11:08:21.827Z - warn: ## Terminou tudo, chamaria o callback ##
2018-02-27T11:08:24.501Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:24.593Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:24.594Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:24.596Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:24.598Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:24.634Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:25.317Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:25.319Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:25.333Z - info: ## Apontamento atualizado com sucesso 2018-02-25T03:00:00.000Z
2018-02-27T11:08:25.336Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:25.337Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:25.340Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:25.368Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:25.370Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:25.378Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
